CustomerKey,GeoAreaKey,StartDT,EndDT,Continent,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Birthday,Age,Occupation,Company,Vehicle,Latitude,Longitude
737759,528,1999-05-18,2040-03-27,Europe,female,Dr.,Anastasia,C,Giordano,Via Longhena 84,Ponte Sulla Moletta,RM,Roma,00040,IT,Italy,1981-10-06,39,Coil taper,Galyan's,2014 Buick Regal,41.515942,12.513202
758585,506,1999-02-26,2040-09-19,Europe,male,Mr.,Maurilio,D,Genovesi,Via dei Fiorentini 132,Napoli,NA,Napoli,80126,IT,Italy,1962-10-03,58,Administrative leader,China Coast,2007 Opel Vectra,40.874302,14.141601
803626,557,2006-05-16,2036-03-25,Europe,female,Mrs.,Samsam,L,Hamers,Zwanenveld 121,Nijmegen,GE,Gelderland,6538 NN,NL,Netherlands,1945-12-17,75,Instructional assistant,Circus World,1999 BMW M5,51.873346,5.837561
822151,555,1994-09-16,2042-02-09,Europe,female,Ms.,Razia,C,Verstegen,Pampuspad 47,Emmeloord,FL,Flevoland,8304 DT,NL,Netherlands,1996-02-27,24,Range manager,Cavages,2002 ZAZ Wagon,52.789605,5.699496
835964,554,1982-05-11,2040-09-13,Europe,female,Mrs.,Angéla,D,den Hartog,Boergrup 196,Vledderveen,DR,Drenthe,8385 GL,NL,Netherlands,1938-05-13,82,Labor trainer,Integra Wealth,2011 Volkswagen Eos,52.984877,7.063588
877640,565,1986-07-06,2033-01-10,Europe,female,Ms.,Dyan,H,Berger,Zonnebloem 181,Leiden,ZH,Zuid-Holland,2317 LM,NL,Netherlands,1963-03-03,57,Rail-track laying and maintenance equipment operator,Martin's,2003 Acura MDX,52.194218,4.50802
932313,221,1990-10-15,2037-09-04,Europe,male,Mr.,Charles,R,Ellis,43 Balsham Road,Harold Hill,Havering,Havering,RM3 3EG,GB,United Kingdom,1973-11-17,47,Multiple machine tool operator,Cal Stereo,2000 Buick Riviera,51.640739,0.275918
997942,434,1984-01-31,2044-07-03,Europe,female,Ms.,Victoria,L,Norris,65 Dover Road,Westham,Weymouth and Portland,Weymouth and Portland,DT4 6RW,GB,United Kingdom,1967-03-25,53,Print binding and finishing worker,"Deco Refreshments, Inc.",2003 Opel Speedster,50.690169,-2.558348
1031762,213,1989-09-03,2045-07-10,Europe,male,Mr.,Dominic,E,Duffy,33 Victoria Road,Little Bowden,Harborough,Harborough,LE16 7EW,GB,United Kingdom,1953-07-27,67,Automotive glass repairer,Standard Brands Paint Company,2003 Ford Puma,52.343921,-0.898786
1042701,73,1983-03-23,2036-10-01,Europe,female,Ms.,Rachel,Z,Carpenter,5 Marlborough Crescent,Southend,Argyllshire,Argyllshire,PA28 6ZE,GB,United Kingdom,1966-06-04,54,Forging machine tender,Vari-Tec,1993 Mazda MS-8,55.218918,-4.659992
1072232,152,2005-03-27,2031-05-02,Europe,male,Mr.,Cameron,V,Sharp,3 Freezeland Lane,Crabbet Park,Crawley,Crawley,RH10 6WT,GB,United Kingdom,1995-04-13,25,Superintendent,Star Assistance,2006 Ford F-250,51.109323,-0.120886
1107686,173,1985-11-02,2031-07-24,Europe,male,Mr.,Owen,V,Benson,94 Scrimshire Lane,Aspenden,East Hertfordshire,East Hertfordshire,SG9 9QW,GB,United Kingdom,1940-03-21,80,Human resources clerk,Checker Auto Parts,2011 Mazda 3,51.990251,-0.072074
1205617,600,2003-04-29,2034-01-28,North America,male,Mr.,Shaun,T,Foltz,1566 Oakwood Avenue,Manhattan,NY,New York,10016,US,United States,1978-12-20,42,Weigher,Stratacard,2000 Ford Falcon,40.773814,-74.039962
1234545,571,2000-06-10,2042-01-16,North America,male,Mr.,Alvin,F,Hughes,2183 Shobe Lane,Fort Collins,CO,Colorado,80524,US,United States,1970-07-09,50,Electronic home entertainment equipment installer,Shoe Town,2011 Toyota Sequoia,40.742826,-104.931712
1247464,614,1982-10-10,2044-04-18,North America,female,Mrs.,Ruth,W,Shaw,323 Whaley Lane,Burlington,WI,Wisconsin,53105,US,United States,1997-08-27,23,Plasma cutter,Magna Wealth,1992 Mitsubishi Space Runner,42.599698,-88.334782
1348577,591,1981-11-14,2043-05-30,North America,male,Mr.,James,M,Sharp,2581 School House Road,Jackson,MS,Mississippi,39211,US,United States,1946-02-20,74,Yardmaster,Realty Solution,1993 Peugeot 504,32.335881,-90.190099
1400736,570,1984-05-15,2044-12-29,North America,male,Mr.,Virgil,S,Blevins,99 Vernon Street,California,CA,California,02110,US,United States,1964-12-10,56,First mate,World of Fun,2005 Noble M14,36.682882,-119.495995
1447920,586,1991-06-01,2027-02-10,North America,female,Mrs.,Faith,A,Johnson,2665 Hickory Heights Drive,Baltimore,MD,Maryland,21217,US,United States,1947-07-09,73,Coache,I. Magnin,2004 Honda NSX,39.301351,-76.562471
1495184,581,2010-12-04,2031-11-10,North America,male,Mr.,Jose,M,Green,4430 Neville Street,Terre Haute,IN,Indiana,47802,US,United States,1953-06-20,67,Mixing and blending machine setter,Bell Markets,2000 Peugeot Partner,39.344062,-87.4496
1541734,580,1984-09-03,2036-06-15,North America,male,Mr.,John,A,Stuart,2323 Kembery Drive,Chicago,IL,Illinois,60603,US,United States,1955-11-23,65,Cartographer,Prestigabiz,2001 SsangYong Korando,41.854995,-87.679088
1584923,603,1992-06-18,2042-11-13,North America,female,Ms.,Teresa,M,Myers,3103 New Street,Rocky Point,OR,Oregon,97731,US,United States,1945-01-02,76,Coil winder,Adaptabiz,1992 Cadillac Seville,44.583674,-123.638179
1595828,581,1998-04-25,2039-02-12,North America,male,Mr.,James,M,Peters,1215 Charack Road,Greensburg,IN,Indiana,47240,US,United States,1995-01-13,26,Booth cashier,Brilliant Home Designs,2005 Tata Indica,39.415135,-85.495525
1613348,573,1983-12-25,2030-12-28,North America,female,Mrs.,Karen,M,Dorman,545 Hickory Lane,Washington,DC,Washington DC,20009,US,United States,1994-06-17,26,Travel consultant,First Choice Yard Help,2000 Jeep Wrangler,38.924794,-76.992881
1616482,593,1989-08-14,2041-01-07,North America,male,Mr.,Herman,B,Maske,72 Rockwell Lane,Littleton,NC,North Carolina,27850,US,United States,1939-09-08,81,Underwriter,Affinity Investment Group,2005 Rolls-Royce Silver Seraph,36.307195,-77.865443
1805609,569,1994-07-19,2037-05-05,North America,female,Ms.,Rebecca,C,Carter,3543 Polk Street,Tucson,AZ,Arizona,85739,US,United States,1975-10-17,45,Family and general practitioner,Britling Cafeterias,1995 Rolls-Royce Silver Spirit,32.593915,-111.033752
1813501,600,2000-11-04,2034-06-16,North America,female,Ms.,Sara,D,Lee,299 Plainfield Avenue,Utica,NY,New York,13502,US,United States,1962-04-05,58,Wait staff,Maloley's Finer Foods,2001 Honda City,43.213791,-75.113245
1873550,607,1994-04-11,2042-05-24,North America,female,Ms.,Nora,H,Lawless,3810 Elsie Drive,Wakonda,SD,South Dakota,57073,US,United States,1968-05-20,52,Prosthodontist,Circus World,2012 Subaru Forester,43.044393,-97.029842
1892579,570,1984-04-26,2028-10-10,North America,male,Mr.,Dennis,J,Woods,4260 Edsel Road,Los Angeles,CA,California,90013,US,United States,1964-09-23,56,Graduate teaching assistant,DGS HomeSource,2009 Daihatsu Charade,34.076204,-118.1549
1892979,603,1981-01-05,2027-03-24,North America,male,Mr.,Darwin,D,Davis,4874 Kincheloe Road,Portland,OR,Oregon,97232,US,United States,1948-03-28,72,Rock splitter,Gamma Grays,1995 Nissan Serena,45.500142,-122.686017
1920895,614,1984-01-11,2032-02-16,North America,male,Mr.,Noah,M,Hedegaard,4454 Highland Drive,Milwaukee,WI,Wisconsin,53202,US,United States,1973-03-21,47,Color printer operator,BASCO,2012 Scion tC,43.120073,-87.973158
1921827,588,1996-08-30,2029-01-04,North America,male,Mr.,Maik,A,Schiffer,3811 Cunningham Court,Farmington Hills,MI,Michigan,48335,US,United States,1970-12-11,50,Paraprofessional,Team Uno,2011 Suzuki SX4,42.423835,-83.516391
1939560,612,2005-01-24,2037-08-09,North America,male,Mr.,Jeremiah,A,Bartz,949 Hardman Road,Brattleboro,VT,Vermont,05301,US,United States,1956-06-26,64,DJ,Leo's Stereo,2005 BMW 325,42.768466,-72.752239
1948527,600,1982-05-05,2039-12-16,North America,male,Mr.,August,T,Kalliala,999 Frosty Lane,Binghamton,NY,New York,13901,US,United States,1990-10-29,30,Payroll bookkeeper,Ukrop's Super Market,1992 Ford Escort,42.13648,-75.823101
1958297,569,2005-12-30,2042-09-26,North America,female,Mrs.,Cassandre,P,Pedraza,3203 Dye Street,Chandler,AZ,Arizona,85226,US,United States,1974-08-12,46,Flight engineer,Destiny Realty,2011 Mazda CX-7,33.19092,-111.918737
1965932,570,1982-11-11,2041-06-11,North America,male,Mr.,Adassa,E,Cavazos,2567 Elk Street,Irvine,CA,California,92714,US,United States,1961-03-15,59,Systems architect,Rhodes Furniture,2004 Opel Zafira,33.60982,-117.726537
2020983,569,1985-11-29,2038-07-26,North America,female,Ms.,Mette,K,Heilmann,4409 Dogwood Road,Phoenix,AZ,Arizona,85003,US,United States,1973-11-10,47,Information technology trainer,Child World,2006 Honda Integra,33.439585,-112.064342
2044650,589,2000-02-15,2026-12-05,North America,female,Ms.,Fortunata,C,Fierro,4930 Ashmor Drive,Grand Rapids,MN,Minnesota,55744,US,United States,1995-10-28,25,Press secretary,Record Town,2002 Volkswagen Golf,47.179642,-93.518628
2063767,584,1989-06-14,2039-10-31,North America,male,Mr.,Pavel,H,Krocil,1423 Big Indian,Metairie,LA,Louisiana,70007,US,United States,1951-04-17,69,Compositor,Landskip Yard Service,1999 TVR Cerbera,30.097357,-90.203965
